task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
355	80/859c12	10475	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:51.572	31.5s	30.8s	97.0%	346.8 MB	3.7 GB	242.9 MB	5.6 MB
366	b8/b37096	17189	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:56.436	27.7s	27s	119.2%	347.3 MB	3.6 GB	231.2 MB	5.6 MB
367	08/bd77c2	19795	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:58.101	26.7s	26.1s	129.1%	362.2 MB	3.7 GB	226.1 MB	5.7 MB
351	f6/90c5fd	7534	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:49.543	35.6s	35s	100.5%	343.7 MB	3.7 GB	344.7 MB	5.5 MB
372	3f/ca7e9d	21624	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.487	26.3s	25.7s	114.7%	351.8 MB	3.6 GB	246.3 MB	5.6 MB
370	2b/470497	20780	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.124	26.7s	26.1s	121.0%	347.7 MB	3.7 GB	257.8 MB	5.6 MB
356	43/55adbc	10495	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:51.583	34.3s	33.8s	106.0%	354.5 MB	3.4 GB	351.8 MB	5.6 MB
358	0a/5216eb	13282	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:53.625	32.5s	31.9s	99.5%	341.4 MB	3.6 GB	321.3 MB	5.6 MB
369	46/61ba86	20724	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.101	27.4s	26.9s	120.6%	358.7 MB	3.5 GB	253.3 MB	5.6 MB
364	d2/7178e8	16182	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:55.540	31.2s	30.7s	108.1%	328 MB	3.7 GB	329.5 MB	5.7 MB
326	70/c69dce	45958	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:30.514	56.2s	55.6s	82.3%	363.3 MB	3.7 GB	551 MB	5.7 MB
368	79/96a710	20021	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:58.528	28.7s	28s	108.1%	333.2 MB	3.6 GB	283.3 MB	5.7 MB
343	5a/212dc6	800	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:44.990	42.6s	41.9s	96.8%	348 MB	3.6 GB	426.6 MB	5.7 MB
374	a3/c2b8df	21990	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.614	32.6s	32s	112.5%	360.1 MB	3.7 GB	402.9 MB	5.6 MB
373	ee/9643e3	21760	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.534	32.8s	32.2s	109.7%	358.9 MB	3.6 GB	385.3 MB	5.6 MB
371	69/a149f1	20819	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:59.143	33.5s	32.9s	112.1%	351.5 MB	3.6 GB	384.2 MB	5.6 MB
376	91/dd3bd3	22870	MultiQC_raw (Generating raw multiQC report)	COMPLETED	0	2021-04-07 17:19:00.260	1m 52s	1m 46s	93.6%	326.9 MB	3.2 GB	10.4 GB	11.8 MB
